controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
157, 933, 5.05928e+00, 9.41788e+00, 1.31690e+02, 1.31690e+02, 7.40000e+01, 6.32369e-01, 2.07594e+00, 0.00000e+00
158, 940, 5.09724e+00, 9.41365e+00, 1.37312e+02, 1.37312e+02, 7.40000e+01, 6.45745e-01, 2.06807e+00, 0.00000e+00
159, 944, 5.11893e+00, 9.40877e+00, 1.40752e+02, 1.40752e+02, 7.40000e+01, 6.52542e-01, 2.14748e+00, 0.00000e+00
160, 951, 5.15688e+00, 9.39881e+00, 1.37913e+02, 1.37913e+02, 7.40000e+01, 6.60358e-01, 2.21418e+00, 0.00000e+00
161, 957, 5.18942e+00, 9.39446e+00, 1.40424e+02, 1.40424e+02, 7.40000e+01, 6.71891e-01, 2.27859e+00, 0.00000e+00
162, 962, 5.21653e+00, 9.38726e+00, 1.41134e+02, 1.41134e+02, 7.40000e+01, 6.80873e-01, 2.31870e+00, 0.00000e+00
163, 967, 5.24365e+00, 9.37970e+00, 1.48176e+02, 1.48176e+02, 7.40000e+01, 6.91830e-01, 2.30407e+00, 0.00000e+00
164, 974, 5.28160e+00, 9.37091e+00, 1.48831e+02, 1.48831e+02, 7.40000e+01, 6.98152e-01, 2.33415e+00, 0.00000e+00
165, 980, 5.31414e+00, 9.36564e+00, 1.55873e+02, 1.55873e+02, 7.40000e+01, 7.04082e-01, 2.32387e+00, 0.00000e+00
166, 986, 5.34667e+00, 9.35670e+00, 1.60622e+02, 1.60622e+02, 7.40000e+01, 7.23124e-01, 2.27829e+00, 0.00000e+00
167, 990, 5.36837e+00, 9.35515e+00, 1.65590e+02, 1.65590e+02, 7.40000e+01, 7.30303e-01, 2.39157e+00, 0.00000e+00
168, 993, 5.38463e+00, 9.34996e+00, 1.68865e+02, 1.68865e+02, 7.40000e+01, 7.38167e-01, 2.39355e+00, 0.00000e+00
169, 999, 5.41717e+00, 9.35121e+00, 1.71486e+02, 1.71486e+02, 7.40000e+01, 7.42743e-01, 2.41311e+00, 0.00000e+00
170, 1003, 5.43886e+00, 9.34520e+00, 1.77253e+02, 1.77253e+02, 7.40000e+01, 7.49751e-01, 2.39780e+00, 0.00000e+00
171, 1010, 5.47682e+00, 9.34791e+00, 1.86206e+02, 1.86206e+02, 7.40000e+01, 7.54455e-01, 2.46861e+00, 0.00000e+00
172, 1015, 5.50393e+00, 9.33847e+00, 1.84077e+02, 1.84077e+02, 7.40000e+01, 7.57635e-01, 2.51570e+00, 0.00000e+00
173, 1022, 5.54189e+00, 9.33575e+00, 1.87134e+02, 1.87134e+02, 7.40000e+01, 7.62231e-01, 2.62306e+00, 0.00000e+00
174, 1031, 5.59069e+00, 9.33192e+00, 1.92593e+02, 1.92593e+02, 7.40000e+01, 7.65276e-01, 2.58090e+00, 0.00000e+00
175, 1036, 5.61780e+00, 9.33261e+00, 1.97616e+02, 1.97616e+02, 7.40000e+01, 7.66409e-01, 2.62938e+00, 0.00000e+00
